Idx,Title,Year,Info,Rating,URL
No.11,海上钢琴师 La leggenda del pianista sull'oceano,(1998),; 导演:朱塞佩·托纳多雷; 编剧:亚利桑德罗·巴里克/朱塞佩·托纳多雷; 主演:蒂姆·罗斯/普路特·泰勒·文斯/比尔·努恩/克兰伦斯·威廉姆斯三世/梅兰尼·蒂埃里/皮特·沃恩/尼尔·奥布赖恩/阿尔贝托·巴斯克斯/加布里埃莱·拉维亚/科里·巴克/西德尼·科尔/LuigiDeLuca/尼古拉·迪·平托/费米·依鲁福祖/伊斯顿·盖奇/凯文·麦克纳利/布莱恩·普林格/沙拉·鲁宾/希思科特·威廉姆斯/阿妮妲·扎格利亚/安吉洛·迪洛雷塔; 类型:剧情/音乐; ; 制片国家/地区:意大利; 语言:英语/法语/意大利语; 上映日期:2019-11-15(中国大陆)/1998-10-28(意大利); 片长:165分钟/120分钟(法国版)/169分钟(加长版)/125分钟(中国大陆); 又名:声光伴我飞(港)/一九零零的传奇/1900海上钢琴师/传奇1900/TheLegendof1900/TheLegendOfThePianistOnTheOcean; IMDb链接:tt0120731; ; ,9.3,https://movie.douban.com/subject/1292001/
No.12,楚门的世界 The Truman Show,(1998),; 导演:彼得·威尔; 编剧:安德鲁·尼科尔; 主演:金·凯瑞/劳拉·琳妮/艾德·哈里斯/诺亚·艾默里奇/娜塔莎·麦克艾霍恩; 类型:剧情/科幻; ; 制片国家/地区:美国; 语言:英语; 上映日期:1998-06-05(美国); 片长:103分钟; 又名:真人Show(港)/真人戏/真人世界/楚门秀/真人秀; IMDb链接:tt0120382; ; ,9.3,https://movie.douban.com/subject/1292064/
No.13,星际穿越 Interstellar,(2014),; 导演:克里斯托弗·诺兰; 编剧:乔纳森·诺兰/克里斯托弗·诺兰; 主演:马修·麦康纳/安妮·海瑟薇/杰西卡·查斯坦/麦肯吉·弗依/卡西·阿弗莱克/迈克尔·凯恩/马特·达蒙/蒂莫西·柴勒梅德/艾伦·伯斯汀/约翰·利思戈/韦斯·本特利/大卫·吉亚西/比尔·欧文/托弗·戈瑞斯/科莱特·沃夫/弗朗西斯·X·麦卡蒂/安德鲁·博尔巴/乔什·斯图沃特/莱雅·卡里恩斯/利亚姆·迪金森/杰夫·赫普内尔/伊莱耶斯·加贝尔/布鲁克·史密斯/大卫·奥伊罗/威廉姆·德瓦内/拉什·费加/格里芬·弗雷泽/弗洛拉·诺兰; 类型:剧情/科幻/冒险; ; 制片国家/地区:美国/英国/加拿大/冰岛; 语言:英语; 上映日期:2014-11-12(中国大陆)/2020-08-02(中国大陆重映)/2014-11-07(美国); 片长:169分钟; 又名:星际启示录(港)/星际效应(台)/星际空间/星际之间/星际远航/星际/Flora'sLetter; IMDb链接:tt0816692; ; 官方小站:; 《星际穿越》电影专题; ,9.3,https://movie.douban.com/subject/1889243/
No.14,三傻大闹宝莱坞 3 Idiots,(2009),; 导演:拉吉库马尔·希拉尼; 编剧:维德胡·维诺德·乔普拉/拉吉库马尔·希拉尼/阿希贾特·乔希; 主演:阿米尔·汗/卡琳娜·卡普尔/马达范/沙尔曼·乔希/奥米·瓦依达/博曼·伊拉尼/莫娜·辛格/拉杰夫·拉宾德拉纳特安; 类型:剧情/喜剧/爱情/歌舞; ; 制片国家/地区:印度; 语言:印地语/乌尔都语/英语; 上映日期:2011-12-08(中国大陆)/2009-12-25(印度); 片长:171分钟(印度); 又名:三个傻瓜(台)/作死不离3兄弟(港)/三个白痴/三个傻蛋/三个呆瓜/三生万悟/寻找兰彻/ThreeIdiots; IMDb链接:tt1187043; ; ,9.2,https://movie.douban.com/subject/3793023/
No.15,机器人总动员 WALL·E,(2008),; 导演:安德鲁·斯坦顿; 编剧:安德鲁·斯坦顿/吉姆·里尔顿/彼特·道格特; 主演:本·贝尔特/艾丽莎·奈特/杰夫·格尔林/佛莱德·威拉特/西格妮·韦弗/MacInTalk/约翰·拉岑贝格/凯茜·纳基麦/泰迪·牛顿/鲍伯·伯根/洛丽·理查德森/吉姆·瓦德/彼特·道格特/安德鲁·斯坦顿/杰夫·皮金/约翰·齐甘/米凯·麦高万/雪莉·琳恩/克莱特·惠特克/唐纳德·富利洛夫/罗里·艾伦/杰斯·哈梅尔/拉瑞恩·纽曼/扬·拉布森/保罗·伊丁; 类型:科幻/动画/冒险; 官方网站:www.pixar.com/feature-films/walle; 制片国家/地区:美国; 语言:英语; 上映日期:2008-06-27(美国); 片长:98分钟; 又名:太空奇兵·威E(港)/瓦力(台)/星际总动员/地球废品分装员/机器人瓦力/walle; IMDb链接:tt0910970; ; ,9.3,https://movie.douban.com/subject/2131459/
No.16,放牛班的春天 Les choristes,(2004),; 导演:克里斯托夫·巴拉蒂; 编剧:乔治·沙普罗/勒·惠勒/诺埃-诺尔/克里斯托夫·巴拉蒂/菲利普·洛佩斯-屈瓦尔; 主演:热拉尔·朱尼奥/弗朗索瓦·贝莱昂/凯德·麦拉德/让-保罗·博奈雷/玛丽·布奈尔/让-巴蒂斯特·莫尼耶/马科森斯·珀林/格雷戈里·加迪诺尔/托马斯·布伦门塔尔/西里尔·伯尔尼科特/西蒙·法戈特/泰奥杜尔·卡雷-卡赛尼/菲利普·杜·詹纳兰德/埃里克·德斯玛莱茨/狄迪尔·弗拉蒙/雅克·贝汉; 类型:剧情/音乐; ; 制片国家/地区:法国/瑞士/德国; 语言:法语; 上映日期:2004-10-16(中国大陆)/2004-03-17(法国); 片长:97分钟; 又名:歌声伴我心(港)/唱诗班男孩/TheChorus; IMDb链接:tt0372824; ; ,9.3,https://movie.douban.com/subject/1291549/
No.17,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,(1995),; 导演:刘镇伟; 编剧:刘镇伟; 主演:周星驰/吴孟达/朱茵/蔡少芬/蓝洁瑛/莫文蔚/罗家英/刘镇伟/陆树铭/李健仁; 类型:喜剧/爱情/奇幻/古装; ; 制片国家/地区:中国香港/中国大陆; 语言:粤语/汉语普通话; 上映日期:1995-02-04(中国香港)/2014-10-24(中国大陆)/2017-04-13(中国大陆重映); 片长:95分钟/110分钟(重映版); 又名:西游记完结篇仙履奇缘/齐天大圣西游记/大话东游之二/AChineseOdysseyPartTwo-Cinderella; IMDb链接:tt0114996; ; ,9.2,https://movie.douban.com/subject/1292213/
No.18,熔炉 도가니,(2011),; 导演:黄东赫; 编剧:黄东赫/孔枝泳; 主演:孔侑/郑有美/金贤秀/郑仁絮/白承焕/张光/金民尚/林贤成/金周灵/严孝燮/全国焕/崔镇浩/金志映/严智星/许在浩/张素妍; 类型:剧情; ; 制片国家/地区:韩国; 语言:韩语; 上映日期:2011-09-22(韩国); 片长:125分钟; 又名:无声呐喊(港)/漩涡/Silenced/TheCrucible; IMDb链接:tt2070649; ; ,9.3,https://movie.douban.com/subject/5912992/
No.19,疯狂动物城 Zootopia,(2016),; 导演:拜伦·霍华德/瑞奇·摩尔/杰拉德·布什; 编剧:拜伦·霍华德/瑞奇·摩尔/杰拉德·布什/吉姆·里尔顿/乔西·特立尼达/菲尔·约翰斯顿/珍妮弗·李; 主演:金妮弗·古德温/杰森·贝特曼/伊德里斯·艾尔巴/珍妮·斯蕾特/内特·托伦斯/邦尼·亨特/唐·雷克/汤米·钟/J·K·西蒙斯/奥克塔维亚·斯宾瑟/艾伦·图代克/夏奇拉/雷蒙德·S·佩尔西/德拉·萨巴/莫里斯·拉马奇/菲尔·约翰斯顿/约翰·迪·马吉欧/凯蒂·洛斯/吉塔·雷迪/杰西·科尔蒂/汤米·利斯特/乔希·达拉斯/瑞奇·摩尔/凯斯·索西/彼得·曼斯布里奇/拜伦·霍华德/杰拉德·布什/马克·史密斯/乔西·特立尼达/约翰·拉维尔/克里斯汀·贝尔/吉尔·科德斯/梅利莎·古德温; 类型:喜剧/动画/冒险; ; 制片国家/地区:美国; 语言:英语/挪威语; 上映日期:2016-03-04(中国大陆/美国)/2020-07-24(中国大陆重映); 片长:109分钟(中国大陆)/108分钟; 又名:优兽大都会(港)/动物方城市(台)/动物乌托邦/动物大都会/Zootropolis; IMDb链接:tt2948356; ; ,9.2,https://movie.douban.com/subject/25662329/
No.20,无间道 無間道,(2002),; 导演:刘伟强/麦兆辉; 编剧:麦兆辉/庄文强; 主演:刘德华/梁朝伟/黄秋生/曾志伟/郑秀文/陈慧琳/陈冠希/余文乐/杜汶泽/林家栋/萧亚轩; 类型:剧情/悬疑/犯罪; ; 制片国家/地区:中国香港; 语言:粤语; 上映日期:2002-12-12(中国香港)/2003-09-05(中国大陆); 片长:101分钟/97分钟(导演剪辑版); 又名:InfernalAffairs/Mougaandou; IMDb链接:tt0338564; ; ,9.2,https://movie.douban.com/subject/1307914/
No.21,龙猫 となりのトトロ,(1988),; 导演:宫崎骏; 编剧:宫崎骏; 主演:日高法子/坂本千夏/糸井重里/岛本须美/北林谷荣/高木均/雨笠利幸/丸山裕子/广濑正志/鹫尾真知子/铃木玲子/千叶繁/龙田直树/鳕子/西村朋纮/石田光子/神代知衣/中村大树/水谷优子/平松晶子/大谷育江; 类型:动画/奇幻/冒险; ; 制片国家/地区:日本; 语言:日语; 上映日期:2018-12-14(中国大陆)/1988-04-16(日本); 片长:86分钟; 又名:邻居托托罗/邻家的豆豆龙/隔壁的特特罗/TonarinoTotoro/MyNeighborTotoro; IMDb链接:tt0096283; ; ,9.2,https://movie.douban.com/subject/1291560/
No.22,教父 The Godfather,(1972),; 导演:弗朗西斯·福特·科波拉; 编剧:马里奥·普佐/弗朗西斯·福特·科波拉; 主演:马龙·白兰度/阿尔·帕西诺/詹姆斯·肯恩/理查德·卡斯特尔诺/罗伯特·杜瓦尔/斯特林·海登/约翰·马利/理查德·康特/艾尔·勒提埃里/黛安·基顿/阿贝·维高达/塔莉娅·夏尔/吉亚尼·罗素/约翰·凯泽尔/鲁迪·邦德/兰尼·蒙大拿; 类型:剧情/犯罪; ; 制片国家/地区:美国; 语言:英语/意大利语/拉丁语; 上映日期:1972-03-15(纽约首映)/1972-03-24(美国); 片长:175分钟; 又名:MarioPuzo'sTheGodfather; IMDb链接:tt0068646; ; ,9.3,https://movie.douban.com/subject/1291841/
No.23,当幸福来敲门 The Pursuit of Happyness,(2006),; 导演:加布里埃莱·穆奇诺; 编剧:斯蒂夫·康拉德; 主演:威尔·史密斯/贾登·史密斯/坦迪·牛顿/布莱恩·豪威/詹姆斯·凯伦/丹·卡斯泰兰尼塔/柯特·富勒/塔卡尤·费舍尔/凯文·韦斯特/乔治·张/戴维·迈克尔·西尔弗曼/多米尼克·博夫/杰弗·卡伦/乔伊芙·拉文/斯科特·克拉斯; 类型:剧情/家庭/传记; ; 制片国家/地区:美国; 语言:英语/粤语; 上映日期:2008-01-17(中国大陆)/2020-07-20(中国大陆重映)/2006-12-15(美国); 片长:117分钟; 又名:寻找快乐的故事(港)/追求快乐/幸福追击/ThePursuitofHappiness; IMDb链接:tt0454921; ; ,9.1,https://movie.douban.com/subject/1849031/
No.24,怦然心动 Flipped,(2010),; 导演:罗伯·莱纳; 编剧:罗伯·莱纳/安德鲁·沙因曼/文德琳·范·德拉安南; 主演:玛德琳·卡罗尔/卡兰·麦克奥利菲/瑞贝卡·德·莫妮/安东尼·爱德华兹/约翰·马奥尼/佩内洛普·安·米勒/艾丹·奎因/凯文·韦斯曼/摩根·莉莉/瑞安·克茨纳/吉莉安·普法夫/迈克尔·博萨/博·勒纳/杰奎琳·埃沃拉/泰勒·格鲁秀斯/艾莉·布莱恩特/阿什莉·泰勒/伊瑟尔·布罗萨德/科迪·霍恩/迈克尔·博尔顿/肖恩·哈珀/斯戴芬妮·斯考特/帕特丽夏·伦茨/马修·戈尔德/阿罗拉·凯瑟琳·史密斯/凯莉·唐纳利/索菲亚·撒高/米歇尔·梅斯默/ScottJoelGizicki/RodMyers/卡拉帕西托/KatelynPacitto; 类型:剧情/喜剧/爱情; ; 制片国家/地区:美国; 语言:英语; 上映日期:2010-07-26(好莱坞首映)/2010-09-10(美国); 片长:90分钟; 又名:萌动青春/青春萌动/冒失/梧桐树之恋; IMDb链接:tt0817177; ; ,9.1,https://movie.douban.com/subject/3319755/
No.25,触不可及 Intouchables,(2011),; 导演:奥利维埃·纳卡什/埃里克·托莱达诺; 编剧:奥利维埃·纳卡什/埃里克·托莱达诺; 主演:弗朗索瓦·克鲁塞/奥玛·希/安娜·勒尼/奥德雷·弗勒罗/托马·索利韦尔; 类型:剧情/喜剧; ; 制片国家/地区:法国; 语言:法语; 上映日期:2011-11-02(法国); 片长:112分钟; 又名:闪亮人生(港)/逆转人生(台)/无法触碰/最佳拍档/不可触碰/不可触摸/Untouchable/TheIntouchables; IMDb链接:tt1675434; ; ,9.2,https://movie.douban.com/subject/6786002/
No.26,控方证人 Witness for the Prosecution,(1957),; 导演:比利·怀德; 编剧:阿加莎·克里斯蒂/比利·怀德/哈里·库尼兹; 主演:泰隆·鲍华/玛琳·黛德丽/查尔斯·劳顿/爱尔莎·兰切斯特/约翰·威廉姆斯/亨利·丹尼尔/伊安·沃尔夫/托林·撒切尔/诺玛·威登/尤娜·奥康纳/茹塔·李; 类型:剧情/悬疑/犯罪; ; 制片国家/地区:美国; 语言:英语/德语; 上映日期:1957-12-17(美国); 片长:116分钟; 又名:雄才伟略/情妇; IMDb链接:tt0051201; ; ,9.6,https://movie.douban.com/subject/1296141/
No.27,蝙蝠侠：黑暗骑士 The Dark Knight,(2008),; 导演:克里斯托弗·诺兰; 编剧:乔纳森·诺兰/克里斯托弗·诺兰/大卫·S·高耶; 主演:克里斯蒂安·贝尔/希斯·莱杰/艾伦·艾克哈特/迈克尔·凯恩/玛吉·吉伦哈尔/加里·奥德曼/摩根·弗里曼/莫尼克·加布里埃拉·库尔内/罗恩·迪恩/基里安·墨菲/黄经汉/内斯特·卡博内尔/埃里克·罗伯茨/里特奇·科斯特/安东尼·迈克尔·豪尔/基斯·斯扎拉巴基克/柯林·麦克法兰/约书亚·哈尔托/美琳达·麦格劳/内森·甘宝/迈克尔·维约/迈克尔·斯托扬诺夫/威廉·斯米利/丹尼·高德林/迈克尔·加·怀特/马修·奥尼尔/威廉·菲克纳/欧鲁米基·欧拉乌米/格雷格·比姆/爱利克·赫尔曼/毕崔斯·罗森/文森佐·尼克力/陈冠希; 类型:剧情/动作/科幻/惊悚/犯罪; 官方网站:thedarkknight.warnerbros.com; 制片国家/地区:美国/英国; 语言:英语/汉语普通话; 上映日期:2008-07-14(纽约首映)/2008-07-18(美国); 片长:152分钟; 又名:蝙蝠侠前传2：黑暗骑士/黑暗骑士(台)/蝙蝠侠-黑夜之神(港)/蝙蝠侠6：暗夜骑士/Batman:TheDarkKnight/TDK; IMDb链接:tt0468569; ; ,9.2,https://movie.douban.com/subject/1851857/
No.28,活着,(1994),; 导演:张艺谋; 编剧:芦苇/余华; 主演:葛优/巩俐/姜武/牛犇/郭涛/张璐/倪大红/肖聪/董飞/刘天池/董立范/黄宗洛/刘燕瑾/李连义/杨同顺; 类型:剧情/家庭/历史; ; 制片国家/地区:中国大陆/中国香港; 语言:汉语普通话; 上映日期:1994-06-30(中国香港)/1994-05-17(戛纳电影节); 片长:132分钟; 又名:人生/Lifetimes/ToLive; IMDb链接:tt0110081; ; ,9.2,https://movie.douban.com/subject/1292365/
No.29,寻梦环游记 Coco,(2017),; 导演:李·昂克里奇/阿德里安·莫利纳; 编剧:阿德里安·莫利纳/马修·奥尔德里奇/李·昂克里奇/詹森·卡茨; 主演:安东尼·冈萨雷斯/盖尔·加西亚·贝纳尔/本杰明·布拉特/阿兰娜·乌巴赫/芮妮·维克托/杰米·卡米尔/阿方索·阿雷奥/赫伯特·西古恩萨/加布里埃尔·伊格莱西亚斯/隆巴多·博伊尔/安娜·奥菲丽亚·莫吉亚/娜塔丽·科尔多瓦/赛琳娜·露娜/爱德华·詹姆斯·奥莫斯/索菲亚·伊斯皮诺萨/卡拉·梅迪纳/黛娅娜·欧特里/路易斯·瓦尔德斯/布兰卡·阿拉切利/萨尔瓦多·雷耶斯/切奇·马林/奥克塔维·索利斯/约翰·拉岑贝格; 类型:喜剧/动画/音乐/奇幻; ; 制片国家/地区:美国; 语言:英语/西班牙语; 上映日期:2017-11-24(中国大陆)/2020-07-20(中国大陆重映)/2017-11-22(美国); 片长:105分钟; 又名:玩转极乐园(港)/可可夜总会(台)/亡灵总动员(豆友译名)/冥冥之中(豆友译名)/墨西哥亡灵节/可可; IMDb链接:tt2380307; ; ,9.1,https://movie.douban.com/subject/20495023/
No.30,末代皇帝 The Last Emperor,(1987),; 导演:贝纳尔多·贝托鲁奇; 编剧:贝纳尔多·贝托鲁奇/马克·派普罗; 主演:尊龙/陈冲/邬君梅/彼得·奥图尔/英若诚/吴涛/黄自强/丹尼斯·邓恩/坂本龙一/马吉·汉/里克·扬/田川洋行/苟杰德/理查德·吴/皱缇格/陈凯歌/卢燕/区亨利/陈述/鲍皓昕/黄文捷/邵茹贞/亨利·基/张良斌/梁冬/康斯坦丁·格雷戈里/黄汉琪/王涛/宋怀桂/蔡鸿翔/程淑艳/张天民; 类型:剧情/传记/历史; ; 制片国家/地区:英国/意大利/中国大陆/法国; 语言:英语/汉语普通话/日语; 上映日期:1987-10-04(东京国际电影节)/1987-10-23(意大利); 片长:163分钟/219分钟(电视版); 又名:末代皇帝溥仪(港); IMDb链接:tt0093389; ; ,9.3,https://movie.douban.com/subject/1293172/
